city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Mills,Ogemaw,"4,291","4,005",7.10%,34.22,88.6,125.4/sq mi (48.4/km2)
Milton,Antrim,"2,204","2,072",6.40%,25.56,66.2,86.2/sq mi (33.3/km2)
Milton,Cass,"3,878","2,646",46.60%,21.11,54.7,183.7/sq mi (70.9/km2)
Minden,Sanilac,545,633,?13.9%,36.1,93,15.1/sq mi (5.8/km2)
Minden City,Sanilac,197,242,?18.6%,1.1,2.8,179.1/sq mi (69.1/km2)
Mitchell,Alcona,352,396,?11.1%,142.54,369.2,2.5/sq mi (1.0/km2)
Moffatt,Arenac,"1,184","1,121",5.60%,31.51,81.6,37.6/sq mi (14.5/km2)
Moltke,Presque Isle,296,352,?15.9%,33.91,87.8,8.7/sq mi (3.4/km2)
Monitor,Bay,"10,735","10,037",7.00%,36.78,95.3,291.9/sq mi (112.7/km2)
MonroeCounty seat,Monroe,"20,733","22,076",?6.1%,9.17,23.8,"2,261.0/sq mi (873.0/km2)"
Monroe,Monroe,"14,568","13,491",8.00%,16.9,44,862.0/sq mi (332.8/km2)
Monroe,Newaygo,320,324,?1.2%,32.84,85.1,9.7/sq mi (3.8/km2)
Montague,Muskegon,"2,361","2,407",?1.9%,2.56,6.6,922.3/sq mi (356.1/km2)
Montague,Muskegon,"1,600","1,637",?2.3%,18.58,48.1,86.1/sq mi (33.2/km2)
Montcalm,Montcalm,"3,350","3,178",5.40%,35.43,91.8,94.6/sq mi (36.5/km2)
Monterey,Allegan,"2,356","2,065",14.10%,35.7,92,66.0/sq mi (25.5/km2)
Montgomery,Hillsdale,342,386,?11.4%,1,2.6,342.0/sq mi (132.0/km2)
Montmorency,Montmorency,"1,117","1,202",?7.1%,136.61,353.8,8.2/sq mi (3.2/km2)
Montrose,Genesee,"1,657","1,619",2.30%,0.98,2.5,"1,690.8/sq mi (652.8/km2)"
Montrose,Genesee,"6,224","6,336",?1.8%,34.25,88.7,181.7/sq mi (70.2/km2)
Moore,Sanilac,"1,203","1,262",?4.7%,36.3,94,33.1/sq mi (12.8/km2)
Moorland,Muskegon,"1,575","1,616",?2.5%,35.68,92.4,44.1/sq mi (17.0/km2)
Moran,Mackinac,994,"1,080",?8.0%,127.52,330.3,7.8/sq mi (3.0/km2)
Morenci,Lenawee,"2,220","2,398",?7.4%,2.12,5.5,"1,047.2/sq mi (404.3/km2)"
Morley,Mecosta,493,495,?0.4%,0.89,2.3,553.9/sq mi (213.9/km2)
Morrice,Shiawassee,927,882,5.10%,1.3,3.4,713.1/sq mi (275.3/km2)
Morton,Mecosta,"4,311","3,597",19.80%,33.04,85.6,130.5/sq mi (50.4/km2)
Moscow,Hillsdale,"1,470","1,445",1.70%,35.15,91,41.8/sq mi (16.1/km2)
Mottville,St. Joseph,"1,436","1,499",?4.2%,19.32,50,74.3/sq mi (28.7/km2)
Mount ClemensCounty seat,Macomb,"16,314","17,312",?5.8%,4.07,10.5,"4,008.4/sq mi (1,547.6/km2)"
Mount Forest,Bay,"1,392","1,405",?0.9%,35.91,93,38.8/sq mi (15.0/km2)
Mount Haley,Midland,"1,678","1,654",1.50%,23.82,61.7,70.4/sq mi (27.2/km2)
Mount Morris,Genesee,"3,086","3,194",?3.4%,1.2,3.1,"2,571.7/sq mi (992.9/km2)"
Mount Morris,Genesee,"21,501","23,725",?9.4%,31.51,81.6,682.4/sq mi (263.5/km2)
Mount PleasantCounty seat,Isabella,"26,016","25,946",0.30%,7.74,20,"3,361.2/sq mi (1,297.8/km2)"
Mueller,Schoolcraft,234,245,?4.5%,83.61,216.5,2.8/sq mi (1.1/km2)
Muir,Ionia,604,634,?4.7%,0.71,1.8,850.7/sq mi (328.5/km2)
Mullett,Cheboygan,"1,312","1,284",2.20%,18.99,49.2,69.1/sq mi (26.7/km2)
Mulliken,Eaton,553,557,?0.7%,1.04,2.7,531.7/sq mi (205.3/km2)
Mundy,Genesee,"15,082","12,191",23.70%,36.03,93.3,418.6/sq mi (161.6/km2)
MunisingCounty seat,Alger,"2,355","2,539",?7.2%,5.25,13.6,448.6/sq mi (173.2/km2)
Munising,Alger,"2,983","3,125",?4.5%,202.21,523.7,14.8/sq mi (5.7/km2)
Munro,Cheboygan,571,679,?15.9%,28.4,74,20.1/sq mi (7.8/km2)
MuskegonCounty seat,Muskegon,"38,401","40,105",?4.2%,14.21,36.8,"2,702.4/sq mi (1,043.4/km2)"
Muskegon,Muskegon,"17,840","17,737",0.60%,22.94,59.4,777.7/sq mi (300.3/km2)
Muskegon Heights,Muskegon,"10,856","12,049",?9.9%,3.19,8.3,"3,403.1/sq mi (1,314.0/km2)"
Mussey,St. Clair,"4,206","3,740",12.50%,35.68,92.4,117.9/sq mi (45.5/km2)
Nadeau,Menominee,"1,161","1,160",0.10%,80.75,209.1,14.4/sq mi (5.6/km2)
Nahma,Delta,495,499,?0.8%,166.37,430.9,3.0/sq mi (1.1/km2)
Napoleon,Jackson,"6,776","6,962",?2.7%,28.94,75,234.1/sq mi (90.4/km2)
Nashville,Barry,"1,628","1,684",?3.3%,2.12,5.5,767.9/sq mi (296.5/km2)
Negaunee,Marquette,"4,568","4,576",?0.2%,13.56,35.1,336.9/sq mi (130.1/km2)
Negaunee,Marquette,"3,088","2,707",14.10%,42.08,109,73.4/sq mi (28.3/km2)
Nelson,Kent,"4,764","4,192",13.60%,35.21,91.2,135.3/sq mi (52.2/km2)
Nester,Roscommon,295,263,12.20%,71.35,184.8,4.1/sq mi (1.6/km2)
Newark,Gratiot,"1,093","1,149",?4.9%,34.38,89,31.8/sq mi (12.3/km2)
Newaygo,Newaygo,"1,976","1,670",18.30%,3.74,9.7,528.3/sq mi (204.0/km2)
New Baltimore,Macomb,"12,084","7,405",63.20%,4.61,11.9,"2,621.3/sq mi (1,012.1/km2)"
Newberg,Cass,"1,632","1,703",?4.2%,34.54,89.5,47.2/sq mi (18.2/km2)
NewberryCounty seat,Luce,"1,519","2,686",?43.4%,0.98,2.5,"1,550.0/sq mi (598.5/km2)"
New Buffalo,Berrien,"1,883","2,200",?14.4%,2.5,6.5,753.2/sq mi (290.8/km2)
New Buffalo,Berrien,"2,386","2,468",?3.3%,20.01,51.8,119.2/sq mi (46.0/km2)
New Era,Oceana,451,461,?2.2%,0.84,2.2,536.9/sq mi (207.3/km2)
Newfield,Oceana,"2,401","2,483",?3.3%,32.28,83.6,74.4/sq mi (28.7/km2)
New Haven,Gratiot,"1,004","1,016",?1.2%,35.57,92.1,28.2/sq mi (10.9/km2)
New Haven,Macomb,"4,642","3,071",51.20%,2.53,6.6,"1,834.8/sq mi (708.4/km2)"
New Haven,Shiawassee,"1,329","1,293",2.80%,35.59,92.2,37.3/sq mi (14.4/km2)
Newkirk,Lake,632,719,?12.1%,72.8,189,8.7/sq mi (3.4/km2)
New Lothrop,Shiawassee,581,603,?3.6%,0.81,2.1,717.3/sq mi (276.9/km2)
Newton,Calhoun,"2,551","2,493",2.30%,36,93,70.9/sq mi (27.4/km2)
Newton,Mackinac,427,356,19.90%,148.6,385,2.9/sq mi (1.1/km2)
Niles,"Berrien, Cass","11,600","12,204",?4.9%,5.79,15,"2,003.5/sq mi (773.5/km2)"
Niles,Berrien,"14,164","13,325",6.30%,37.32,96.7,379.5/sq mi (146.5/km2)
Noble,Branch,520,518,0.40%,20.96,54.3,24.8/sq mi (9.6/km2)
Norman,Manistee,"1,553","1,676",?7.3%,70.81,183.4,21.9/sq mi (8.5/km2)
North Adams,Hillsdale,477,514,?7.2%,0.52,1.3,917.3/sq mi (354.2/km2)
North Allis,Presque Isle,521,618,?15.7%,32.72,84.7,15.9/sq mi (6.1/km2)
North Branch,Lapeer,"1,033","1,027",0.60%,1.33,3.4,776.7/sq mi (299.9/km2)
North Branch,Lapeer,"3,645","3,595",1.40%,36.08,93.4,101.0/sq mi (39.0/km2)
Northfield,Washtenaw,"8,245","8,252",?0.1%,35.77,92.6,230.5/sq mi (89.0/km2)
North Muskegon,Muskegon,"3,786","4,031",?6.1%,1.76,4.6,"2,151.1/sq mi (830.6/km2)"
North Plains,Ionia,"1,279","1,366",?6.4%,35.75,92.6,35.8/sq mi (13.8/km2)
Northport,Leelanau,526,648,?18.8%,1.65,4.3,318.8/sq mi (123.1/km2)
North Shade,Gratiot,665,706,?5.8%,35.61,92.2,18.7/sq mi (7.2/km2)
North Star,Gratiot,888,996,?10.8%,34.1,88,26.0/sq mi (10.1/km2)
Northville,County,"5,970","6,459",?7.6%,2.05,5.3,"2,912.2/sq mi (1,124.4/km2)"
Northville,Wayne,"28,497","21,036",35.50%,16.19,41.9,"1,760.2/sq mi (679.6/km2)"
Norton Shores,Muskegon,"23,994","22,527",6.50%,23.24,60.2,"1,032.4/sq mi (398.6/km2)"
Norvell,Jackson,"2,963","2,922",1.40%,29.53,76.5,100.3/sq mi (38.7/km2)
Norway,Dickinson,"2,845","2,959",?3.9%,8.72,22.6,326.3/sq mi (126.0/km2)
Norway,Dickinson,"1,489","1,639",?9.2%,88.52,229.3,16.8/sq mi (6.5/km2)
Norwich,Missaukee,611,646,?5.4%,71.92,186.3,8.5/sq mi (3.3/km2)
Norwich,Newaygo,607,557,9.00%,34.53,89.4,17.6/sq mi (6.8/km2)
Norwood,Charlevoix,723,714,1.30%,18.16,47,39.8/sq mi (15.4/km2)
Nottawa,Isabella,"2,282","2,278",0.20%,35.31,91.5,64.6/sq mi (25.0/km2)
Nottawa,St. Joseph,"3,858","3,999",?3.5%,35.62,92.3,108.3/sq mi (41.8/km2)
Novesta,Tuscola,"1,491","1,606",?7.2%,35.28,91.4,42.3/sq mi (16.3/km2)
Novi,Oakland,"55,224","47,386",16.50%,30.26,78.4,"1,825.0/sq mi (704.6/km2)"
Novi,Oakland,150,193,?22.3%,0.11,0.28,"1,363.6/sq mi (526.5/km2)"
Nunda,Cheboygan,"1,042",925,12.60%,70.26,182,14.8/sq mi (5.7/km2)
Oakfield,Kent,"5,782","5,058",14.30%,33.81,87.6,171.0/sq mi (66.0/km2)
Oakland,Oakland,"16,779","13,071",28.40%,36.3,94,462.2/sq mi (178.5/km2)
Oakley,Saginaw,290,339,?14.5%,1.02,2.6,284.3/sq mi (109.8/km2)
Oak Park,Oakland,"29,319","29,793",?1.6%,5.16,13.4,"5,682.0/sq mi (2,193.8/km2)"
Oceola,Livingston,"11,936","8,362",42.70%,36.12,93.6,330.5/sq mi (127.6/km2)
Ocqueoc,Presque Isle,655,634,3.30%,52.15,135.1,12.6/sq mi (4.8/km2)
Odessa,Ionia,"3,778","4,036",?6.4%,35.58,92.2,106.2/sq mi (41.0/km2)
Ogden,Lenawee,973,"1,063",?8.5%,42.11,109.1,23.1/sq mi (8.9/km2)
Ogemaw,Ogemaw,"1,223","1,118",9.40%,36.3,94,33.7/sq mi (13.0/km2)
Olive,Clinton,"2,476","2,322",6.60%,35.63,92.3,69.5/sq mi (26.8/km2)
Olive,Ottawa,"4,735","4,691",0.90%,36.18,93.7,130.9/sq mi (50.5/km2)
Oliver,Huron,"1,483","1,626",?8.8%,35.31,91.5,42.0/sq mi (16.2/km2)
Oliver,Kalkaska,281,263,6.80%,35.73,92.5,7.9/sq mi (3.0/km2)
Olivet,Eaton,"1,605","1,758",?8.7%,1.02,2.6,"1,573.5/sq mi (607.5/km2)"
Omer,Arenac,313,337,?7.1%,1.13,2.9,277.0/sq mi (106.9/km2)
Onaway,Presque Isle,880,993,?11.4%,1.57,4.1,560.5/sq mi (216.4/km2)
Oneida,Eaton,"3,865","3,703",4.40%,32.56,84.3,118.7/sq mi (45.8/km2)
Onekama,Manistee,411,647,?36.5%,0.58,1.5,708.6/sq mi (273.6/km2)
Onekama,Manistee,"1,329","1,514",?12.2%,18.42,47.7,72.1/sq mi (27.9/km2)
Onondaga,Ingham,"3,158","2,958",6.80%,36.11,93.5,87.5/sq mi (33.8/km2)
Onota,Alger,352,310,13.50%,87.73,227.2,4.0/sq mi (1.5/km2)
Onsted,Lenawee,917,813,12.80%,0.96,2.5,955.2/sq mi (368.8/km2)
OntonagonCounty seat,Ontonagon,"1,494","1,769",?15.5%,3.71,9.6,402.7/sq mi (155.5/km2)
Ontonagon,Ontonagon,"2,579","2,954",?12.7%,192.88,499.6,13.4/sq mi (5.2/km2)
Ontwa,Cass,"6,549","5,865",11.70%,19.41,50.3,337.4/sq mi (130.3/km2)
Orange,Ionia,987,"1,040",?5.1%,35.93,93.1,27.5/sq mi (10.6/km2)
Orange,Kalkaska,"1,233","1,176",4.80%,34.23,88.7,36.0/sq mi (13.9/km2)
Orangeville,Barry,"3,311","3,321",?0.3%,33.43,86.6,99.0/sq mi (38.2/km2)
Orchard Lake Village,Oakland,"2,375","2,215",7.20%,2.44,6.3,973.4/sq mi (375.8/km2)
Oregon,Lapeer,"5,786","6,166",?6.2%,32.55,84.3,177.8/sq mi (68.6/km2)
Orient,Osceola,773,803,?3.7%,34.8,90,22.2/sq mi (8.6/km2)
Orion,Oakland,"35,394","33,463",5.80%,33.33,86.3,"1,061.9/sq mi (410.0/km2)"
Orleans,Ionia,"2,743","2,736",0.30%,35.17,91.1,78.0/sq mi (30.1/km2)
Oronoko,Berrien,"9,193","9,843",?6.6%,32.33,83.7,284.3/sq mi (109.8/km2)
Ortonville,Oakland,"1,442","1,535",?6.1%,0.98,2.5,"1,471.4/sq mi (568.1/km2)"
Osceola,Houghton,"1,888","1,908",?1.0%,24.82,64.3,76.1/sq mi (29.4/km2)
Osceola,Osceola,"1,076","1,118",?3.8%,34.23,88.7,31.4/sq mi (12.1/km2)
Oscoda,Iosco,"6,997","7,248",?3.5%,121.99,316,57.4/sq mi (22.1/km2)
Oshtemo,Kalamazoo,"21,705","17,003",27.70%,35.87,92.9,605.1/sq mi (233.6/km2)
Ossineke,Alpena,"1,675","1,761",?4.9%,105.74,273.9,15.8/sq mi (6.1/km2)
Otisco,Ionia,"2,282","2,243",1.70%,30.97,80.2,73.7/sq mi (28.4/km2)
Otisville,Genesee,864,882,?2.0%,0.88,2.3,981.8/sq mi (379.1/km2)
Otsego,Allegan,"3,956","3,933",0.60%,2.07,5.4,"1,911.1/sq mi (737.9/km2)"
Otsego,Allegan,"5,594","4,854",15.20%,33.23,86.1,168.3/sq mi (65.0/km2)
Otsego Lake,Otsego,"2,847","2,532",12.40%,32.72,84.7,87.0/sq mi (33.6/km2)
Otter Lake,"Lapeer, Genesee",389,437,?11.0%,0.76,2,511.8/sq mi (197.6/km2)
Otto,Oceana,826,662,24.80%,33.46,86.7,24.7/sq mi (9.5/km2)
Overisel,Allegan,"2,911","2,594",12.20%,35.65,92.3,81.7/sq mi (31.5/km2)
Ovid,Branch,"2,326","2,432",?4.4%,33.18,85.9,70.1/sq mi (27.1/km2)
Ovid,"Clinton, Shiawassee","1,603","1,514",5.90%,0.92,2.4,"1,742.4/sq mi (672.7/km2)"
Ovid,Clinton,"3,795","3,490",8.70%,35.84,92.8,105.9/sq mi (40.9/km2)
Owendale,Huron,241,296,?18.6%,0.74,1.9,325.7/sq mi (125.7/km2)
Owosso,Shiawassee,"15,194","15,713",?3.3%,5.23,13.5,"2,905.2/sq mi (1,121.7/km2)"
Owosso,Shiawassee,"4,821","4,670",3.20%,31.61,81.9,152.5/sq mi (58.9/km2)
Oxford,Oakland,"3,436","3,540",?2.9%,1.25,3.2,"2,748.8/sq mi (1,061.3/km2)"
Oxford,Oakland,"20,526","16,025",28.10%,33.78,87.5,607.6/sq mi (234.6/km2)
Palmyra,Lenawee,"2,084","2,366",?11.9%,36.5,95,57.1/sq mi (22.0/km2)
Paradise,Grand Traverse,"4,713","4,191",12.50%,52.87,136.9,89.1/sq mi (34.4/km2)
Parchment,Kalamazoo,"1,804","1,936",?6.8%,0.92,2.4,"1,960.9/sq mi (757.1/km2)"
Paris,Huron,481,557,?13.6%,36.01,93.3,13.4/sq mi (5.2/km2)
Park,Ottawa,"17,802","17,579",1.30%,19.2,50,927.2/sq mi (358.0/km2)
Park,St. Joseph,"2,600","2,699",?3.7%,34.95,90.5,74.4/sq mi (28.7/km2)
Parma,Jackson,769,907,?15.2%,1.06,2.7,725.5/sq mi (280.1/km2)
Parma,Jackson,"2,726","2,696",1.10%,36.3,94,75.1/sq mi (29.0/km2)
Pavilion,Kalamazoo,"6,222","5,829",6.70%,35.01,90.7,177.7/sq mi (68.6/km2)
Paw PawCounty seat,Van Buren,"3,534","3,363",5.10%,2.67,6.9,"1,323.6/sq mi (511.0/km2)"
Paw Paw,Van Buren,"7,041","7,091",?0.7%,34.91,90.4,201.7/sq mi (77.9/km2)
Peacock,Lake,492,445,10.60%,34.92,90.4,14.1/sq mi (5.4/km2)
Peaine,Charlevoix,292,244,19.70%,52.35,135.6,5.6/sq mi (2.2/km2)
Peck,Sanilac,632,599,5.50%,1.05,2.7,601.9/sq mi (232.4/km2)
Pellston,Emmet,822,771,6.60%,1.91,4.9,430.4/sq mi (166.2/km2)
Peninsula,Grand Traverse,"5,433","5,265",3.20%,27.89,72.2,194.8/sq mi (75.2/km2)
Penn,Cass,"1,774","1,902",?6.7%,33.56,86.9,52.9/sq mi (20.4/km2)
Pennfield,Calhoun,"9,001","8,913",1.00%,34.27,88.8,262.6/sq mi (101.4/km2)
Pentland,Luce,"2,674","1,788",49.60%,106.79,276.6,25.0/sq mi (9.7/km2)
Pentwater,Oceana,857,958,?10.5%,1.28,3.3,669.5/sq mi (258.5/km2)
Pentwater,Oceana,"1,515","1,513",0.10%,12.86,33.3,117.8/sq mi (45.5/km2)
Pere Marquette,Mason,"2,366","2,228",6.20%,14.09,36.5,167.9/sq mi (64.8/km2)
Perrinton,Gratiot,406,439,?7.5%,0.63,1.6,644.4/sq mi (248.8/km2)
Perry,Shiawassee,"2,188","2,065",6.00%,2.92,7.6,749.3/sq mi (289.3/km2)
Perry,Shiawassee,"4,327","4,438",?2.5%,31.14,80.7,139.0/sq mi (53.7/km2)
Petersburg,Monroe,"1,146","1,157",?1.0%,0.48,1.2,"2,387.5/sq mi (921.8/km2)"
PetoskeyCounty seat,Emmet,"5,670","6,080",?6.7%,5.09,13.2,"1,113.9/sq mi (430.1/km2)"
Pewamo,Ionia,469,560,?16.2%,1,2.6,469.0/sq mi (181.1/km2)
Pickford,Chippewa,"1,595","1,584",0.70%,108.26,280.4,14.7/sq mi (5.7/km2)
Pierson,Montcalm,172,185,?7.0%,0.25,0.65,688.0/sq mi (265.6/km2)
Pierson,Montcalm,"3,216","2,866",12.20%,34.64,89.7,92.8/sq mi (35.8/km2)
Pigeon,Huron,"1,208","1,207",0.10%,0.86,2.2,"1,404.7/sq mi (542.3/km2)"
Pinckney,Livingston,"2,427","2,141",13.40%,1.6,4.1,"1,516.9/sq mi (585.7/km2)"
Pinconning,Bay,"1,307","1,386",?5.7%,0.85,2.2,"1,537.6/sq mi (593.7/km2)"
Pinconning,Bay,"2,431","2,608",?6.8%,36.68,95,66.3/sq mi (25.6/km2)
Pine,Montcalm,"1,834","1,654",10.90%,34.98,90.6,52.4/sq mi (20.2/km2)
Pine Grove,Van Buren,"2,949","2,773",6.30%,34.45,89.2,85.6/sq mi (33.1/km2)
Pine River,Gratiot,"2,279","2,451",?7.0%,30.31,78.5,75.2/sq mi (29.0/km2)
Pinora,Lake,717,643,11.50%,35.47,91.9,20.2/sq mi (7.8/km2)
Pioneer,Missaukee,451,460,?2.0%,35.91,93,12.6/sq mi (4.8/km2)
Pipestone,Berrien,"2,312","2,474",?6.5%,35.51,92,65.1/sq mi (25.1/km2)
Pittsfield,Washtenaw,"34,663","30,167",14.90%,27.26,70.6,"1,271.6/sq mi (491.0/km2)"
Pittsford,Hillsdale,"1,603","1,600",0.20%,35.42,91.7,45.3/sq mi (17.5/km2)
Plainfield,Iosco,"3,799","4,292",?11.5%,103.73,268.7,36.6/sq mi (14.1/km2)
Plainfield,Kent,"30,952","30,195",2.50%,35.04,90.8,883.3/sq mi (341.1/km2)
Plainwell,Allegan,"3,804","3,933",?3.3%,1.97,5.1,"1,931.0/sq mi (745.5/km2)"
Platte,Benzie,354,342,3.50%,36.3,94,9.8/sq mi (3.8/km2)
Pleasanton,Manistee,818,817,0.10%,33.55,86.9,24.4/sq mi (9.4/km2)
Pleasant Plains,Lake,"1,581","1,535",3.00%,34.73,90,45.5/sq mi (17.6/km2)
Pleasant Ridge,Oakland,"2,526","2,594",?2.6%,0.57,1.5,"4,431.6/sq mi (1,711.0/km2)"
Pleasantview,Emmet,823,943,?12.7%,35.6,92,23.1/sq mi (8.9/km2)
Plymouth,Wayne,"9,132","9,022",1.20%,2.21,5.7,"4,132.1/sq mi (1,595.4/km2)"
Plymouth,Wayne,"27,524","27,798",?1.0%,15.93,41.3,"1,727.8/sq mi (667.1/km2)"
Pointe Aux Barques,Huron,10,10,0.00%,1.31,3.4,7.6/sq mi (2.9/km2)
Pokagon,Cass,"2,029","2,199",?7.7%,34,88,59.7/sq mi (23.0/km2)
Polkton,Ottawa,"2,423","2,335",3.80%,39.21,101.6,61.8/sq mi (23.9/km2)
PontiacCounty seat,Oakland,"59,515","66,337",?10.3%,19.97,51.7,"2,980.2/sq mi (1,150.7/km2)"
Portage,Houghton,"3,221","3,156",2.10%,112.09,290.3,28.7/sq mi (11.1/km2)
Portage,Kalamazoo,"46,292","44,897",3.10%,32.22,83.4,"1,436.7/sq mi (554.7/km2)"
Portage,Mackinac,981,"1,055",?7.0%,55.43,143.6,17.7/sq mi (6.8/km2)
Port Austin,Huron,664,737,?9.9%,1.03,2.7,644.7/sq mi (248.9/km2)
Port Austin,Huron,"1,424","1,591",?10.5%,16.3,42,87.4/sq mi (33.7/km2)
Porter,Cass,"3,798","3,794",0.10%,51.52,133.4,73.7/sq mi (28.5/km2)
Porter,Midland,"1,277","1,270",0.60%,35.17,91.1,36.3/sq mi (14.0/km2)
Porter,Van Buren,"2,466","2,406",2.50%,33.15,85.9,74.4/sq mi (28.7/km2)
Port Hope,Huron,267,310,?13.9%,1.01,2.6,264.4/sq mi (102.1/km2)
Port HuronCounty seat,St. Clair,"30,184","32,338",?6.7%,8.08,20.9,"3,735.6/sq mi (1,442.3/km2)"
Port Huron,St. Clair,"10,654","8,615",23.70%,12.84,33.3,829.8/sq mi (320.4/km2)
Portland,Ionia,"3,883","3,789",2.50%,2.64,6.8,"1,470.8/sq mi (567.9/km2)"
Portland,Ionia,"3,404","2,460",38.40%,32.18,83.3,105.8/sq mi (40.8/km2)
Port Sanilac,Sanilac,623,658,?5.3%,0.8,2.1,778.8/sq mi (300.7/km2)
Port Sheldon,Ottawa,"4,240","4,503",?5.8%,22.3,58,190.1/sq mi (73.4/km2)
Portsmouth,Bay,"3,306","3,619",?8.6%,20.05,51.9,164.9/sq mi (63.7/km2)
Posen,Presque Isle,234,292,?19.9%,1,2.6,234.0/sq mi (90.3/km2)
Posen,Presque Isle,850,959,?11.4%,35.14,91,24.2/sq mi (9.3/km2)
Potterville,Eaton,"2,617","2,168",20.70%,1.68,4.4,"1,557.7/sq mi (601.4/km2)"
Powell,Marquette,816,724,12.70%,153.7,398,5.3/sq mi (2.0/km2)
Powers,Menominee,422,430,?1.9%,0.99,2.6,426.3/sq mi (164.6/km2)
Prairie Ronde,Kalamazoo,"2,250","2,086",7.90%,35.83,92.8,62.8/sq mi (24.2/km2)
Prairieville,Barry,"3,404","3,175",7.20%,32.8,85,103.8/sq mi (40.1/km2)
Prescott,Ogemaw,266,286,?7.0%,1.11,2.9,239.6/sq mi (92.5/km2)
Presque Isle,Presque Isle,"1,656","1,691",?2.1%,35.42,91.7,46.8/sq mi (18.1/km2)
Pulaski,Jackson,"2,075","1,931",7.50%,36.18,93.7,57.4/sq mi (22.1/km2)
Pulawski,Presque Isle,343,372,?7.8%,41.84,108.4,8.2/sq mi (3.2/km2)
Putnam,Livingston,"8,248","7,500",10.00%,34.09,88.3,241.9/sq mi (93.4/km2)
Quincy,Branch,"1,652","1,701",?2.9%,1.22,3.2,"1,354.1/sq mi (522.8/km2)"
Quincy,Branch,"4,285","4,411",?2.9%,35.23,91.2,121.6/sq mi (47.0/km2)
Quincy,Houghton,270,251,7.60%,3.82,9.9,70.7/sq mi (27.3/km2)
Raber,Chippewa,647,670,?3.4%,97.81,253.3,6.6/sq mi (2.6/km2)
Raisin,Lenawee,"7,559","6,507",16.20%,36.13,93.6,209.2/sq mi (80.8/km2)
Raisinville,Monroe,"5,816","4,896",18.80%,48.14,124.7,120.8/sq mi (46.6/km2)
Ransom,Hillsdale,932,982,?5.1%,30.08,77.9,31.0/sq mi (12.0/km2)
Rapid River,Kalkaska,"1,145","1,005",13.90%,35.13,91,32.6/sq mi (12.6/km2)
Ravenna,Muskegon,"1,219","1,206",1.10%,1.21,3.1,"1,007.4/sq mi (389.0/km2)"
Ravenna,Muskegon,"2,905","2,856",1.70%,36.17,93.7,80.3/sq mi (31.0/km2)
Ray,Macomb,"3,739","3,740",0.00%,36.58,94.7,102.2/sq mi (39.5/km2)
Reading,Hillsdale,"1,078","1,134",?4.9%,1.01,2.6,"1,067.3/sq mi (412.1/km2)"
Reading,Hillsdale,"1,765","1,781",?0.9%,33.98,88,51.9/sq mi (20.1/km2)
Readmond,Emmet,581,493,17.80%,31.03,80.4,18.7/sq mi (7.2/km2)
Redding,Clare,526,526,0.00%,34.9,90,15.1/sq mi (5.8/km2)
Redford,Wayne,"48,362","51,622",?6.3%,11.24,29.1,"4,302.7/sq mi (1,661.3/km2)"
Reed CityCounty seat,Osceola,"2,425","2,430",?0.2%,2.08,5.4,"1,165.9/sq mi (450.1/km2)"
Reeder,Missaukee,"1,128","1,112",1.40%,34.78,90.1,32.4/sq mi (12.5/km2)
Reese,"Tuscola, Saginaw","1,454","1,375",5.70%,1.35,3.5,"1,077.0/sq mi (415.8/km2)"
Reno,Iosco,590,656,?10.1%,35.27,91.3,16.7/sq mi (6.5/km2)
Republic,Marquette,"1,060","1,106",?4.2%,111.37,288.4,9.5/sq mi (3.7/km2)
Resort,Emmet,"2,697","2,479",8.80%,19.13,49.5,141.0/sq mi (54.4/km2)
Reynolds,Montcalm,"5,310","4,279",24.10%,35.69,92.4,148.8/sq mi (57.4/km2)
Rich,Lapeer,"1,623","1,412",14.90%,34.98,90.6,46.4/sq mi (17.9/km2)
Richfield,Genesee,"8,730","8,170",6.90%,35.06,90.8,249.0/sq mi (96.1/km2)
Richfield,Roscommon,"3,731","4,139",?9.9%,68.98,178.7,54.1/sq mi (20.9/km2)
Richland,Kalamazoo,751,593,26.60%,1.01,2.6,743.6/sq mi (287.1/km2)
Richland,Kalamazoo,"7,580","6,491",16.80%,34.43,89.2,220.2/sq mi (85.0/km2)
Richland,Missaukee,"1,491","1,445",3.20%,35.52,92,42.0/sq mi (16.2/km2)
Richland,Montcalm,"2,778","2,868",?3.1%,35.63,92.3,78.0/sq mi (30.1/km2)
Richland,Ogemaw,914,956,?4.4%,34.78,90.1,26.3/sq mi (10.1/km2)
Richland,Saginaw,"4,144","4,281",?3.2%,36.71,95.1,112.9/sq mi (43.6/km2)
Richmond,"Macomb, St. Clair","5,735","4,897",17.10%,2.85,7.4,"2,012.3/sq mi (776.9/km2)"
Richmond,Macomb,"3,665","3,416",7.30%,37.49,97.1,97.8/sq mi (37.7/km2)
Richmond,Marquette,882,974,?9.4%,55.57,143.9,15.9/sq mi (6.1/km2)
Richmond,Osceola,"1,554","1,695",?8.3%,32.89,85.2,47.2/sq mi (18.2/km2)
Ridgeway,Lenawee,"1,542","1,580",?2.4%,28.65,74.2,53.8/sq mi (20.8/km2)
Riga,Lenawee,"1,406","1,439",?2.3%,40.86,105.8,34.4/sq mi (13.3/km2)
Riley,Clinton,"2,024","1,767",14.50%,35.71,92.5,56.7/sq mi (21.9/km2)
